City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Mahebourg,MU,80.6,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
14,Vila Velha,BR,87.8,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
15,Atuona,PF,80.65,few clouds,-9.8,-139.0333,Villa Enata
19,Hervey Bay,AU,78.01,light rain,-25.2986,152.8535,Shelly Bay Resort
21,Imbituba,BR,82.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
22,Avarua,CK,80.6,light rain,-21.2078,-159.775,Paradise Inn
28,Progreso,MX,90.0,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
33,Cape Town,ZA,78.01,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
35,Souillac,MU,80.6,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
36,Rikitea,PF,79.21,light rain,-23.1203,-134.9692,Pension Maro'i
37,San Cristobal,VE,84.2,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
39,Jacareacanga,BR,91.4,few clouds,-6.2222,-57.7528,Casa do Ian😎
40,Meulaboh,ID,77.54,overcast clouds,4.1363,96.1285,Kost Pria
46,Bengkulu,ID,75.51,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
47,Bambous Virieux,MU,81.0,broken clouds,-20.3428,57.7575,Casa Tia Villa
49,Puerto Ayora,EC,82.99,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
50,Inhambane,MZ,80.6,broken clouds,-23.865,35.3833,Oceano
52,Saint-Philippe,RE,80.6,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,Poum,NC,78.15,overcast clouds,-20.2333,164.0167,Gîte kajeon
67,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Hotel Plaza Providencia
72,Siavonga,ZM,75.61,few clouds,-16.5382,28.7088,Lavongora Waterfront Lodge
86,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
89,Kudahuvadhoo,MV,82.4,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
92,Denpasar,ID,80.6,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
94,Waingapu,ID,78.19,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
97,Mount Isa,AU,78.8,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
98,Kavieng,PG,80.64,light rain,-2.5744,150.7967,Nusa Island Retreat
106,Karratha,AU,81.86,light rain,-20.7377,116.8463,ibis Styles Karratha
112,Hadgaon,IN,83.84,scattered clouds,19.5,77.6667,Ayan khan
122,Kantang,TH,76.93,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
131,Pochutla,MX,88.0,clear sky,15.7432,-96.4661,Hotel Posada San Jose
132,Touros,BR,87.8,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
135,Saint-Joseph,RE,80.6,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
136,Arraial Do Cabo,BR,84.2,clear sky,-22.9661,-42.0278,Pousada Porto Praia
142,Panama City,PA,90.0,scattered clouds,8.9936,-79.5197,Hotel Riande Granada Urban
143,Springbok,ZA,75.2,few clouds,-29.6643,17.8865,Undulata Country Lodge
149,Ambon,ID,77.0,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
155,Sabang,ID,83.61,broken clouds,5.8933,95.3214,Hotel Citra
156,Hithadhoo,MV,83.95,few clouds,-0.6,73.0833,Scoop Guest House
160,Barra Do Garcas,BR,80.78,overcast clouds,-15.89,-52.2567,Hotel Pousada Tropical
163,Kloulklubed,PW,78.8,broken clouds,7.0419,134.2556,Storyboard Beach Resort
164,Castro,BR,79.77,few clouds,-24.7911,-50.0119,CHACARA BAILLY
168,Butaritari,KI,80.89,light rain,3.0707,172.7902,Isles Sunset Lodge
174,Necochea,AR,80.01,clear sky,-38.5473,-58.7368,dyd -mar Hotel
176,Lufilufi,WS,75.2,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
181,Kalmunai,LK,80.17,scattered clouds,7.4167,81.8167,VS Villa
185,Tual,ID,83.68,moderate rain,-5.6667,132.75,Grand Vilia Hotel
187,Chuy,UY,75.2,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
188,Lima,PE,78.8,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
199,Davila,PH,76.33,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
205,Barahona,DO,84.2,few clouds,18.2085,-71.1008,Hotel Caribe
206,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
209,Georgetown,MY,82.0,few clouds,5.4112,100.3354,Cititel Penang
210,Marrakesh,MA,77.0,few clouds,31.6315,-8.0083,Novotel Marrakech Hivernage
212,Manokwari,ID,78.55,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
215,Senhor Do Bonfim,BR,92.26,few clouds,-10.4614,-40.1894,Hotel Soul
216,Gunjur,GM,86.0,clear sky,13.2019,-16.7339,Kuba Lodge
219,Kavaratti,IN,83.32,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
221,Caravelas,BR,83.98,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
224,Sulangan,PH,81.01,broken clouds,11.1373,123.7228,Maia's Beach Resort
228,Alugan,PH,79.09,overcast clouds,12.2188,125.4808,JM Lodge
240,Luganville,VU,75.56,few clouds,-15.5333,167.1667,The Espiritu Hotel
241,Hualmay,PE,75.9,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
243,Dawei,MM,77.2,few clouds,14.0833,98.2,Hotel Dawei
244,Fayaoue,NC,77.83,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
245,Saldanha,ZA,89.6,clear sky,-33.0117,17.9442,Blue Bay Lodge
246,Benguela,AO,78.91,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
254,Gondanglegi,ID,75.36,overcast clouds,-7.7479,112.0132,Gg. Munasir Homestay
257,Les Cayes,HT,81.79,scattered clouds,18.2,-73.75,Villa Orphee
259,Kulhudhuffushi,MV,83.08,broken clouds,6.6221,73.07,Haajy Guest House 1
261,Bandarbeyla,SO,78.57,clear sky,9.4942,50.8122,JABIR HOTEL
264,Vao,NC,75.33,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
265,Padang,ID,75.2,broken clouds,-0.9492,100.3543,Mercure Padang
269,Mattru,SL,86.04,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
270,Salalah,OM,80.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
271,Santa Isabel,BR,86.0,scattered clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
272,Villagarzon,CO,84.69,broken clouds,1.0375,-76.6267,Hotel Samari
273,Saint-Pierre,RE,80.6,scattered clouds,-21.3393,55.4781,Lindsey Hôtel
280,Bandundu,CD,81.37,broken clouds,-3.3167,17.3667,Coja Color
281,Illapel,CL,79.7,clear sky,-31.6308,-71.1653,Hotel Londres
282,Soyo,AO,80.28,moderate rain,-6.1349,12.3689,Hotel Mpampa
285,Mackay,AU,77.0,overcast clouds,-21.15,149.2,International Lodge Motel
286,Alofi,NU,78.8,scattered clouds,-19.0595,-169.9187,Taloa Heights
291,Cockburn Town,TC,82.4,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
305,Axim,GH,81.14,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
307,Katwa,IN,80.01,few clouds,23.6399,88.128,AURS MULTITRADE INDIA
312,Cerrito,CO,77.0,broken clouds,6.8432,-72.694,Yariseth juliana
314,Novo Aripuana,BR,81.14,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
315,Boa Esperanca Do Sul,BR,91.29,scattered clouds,-21.9925,-48.3908,Pousada do Ipê
316,Merauke,ID,80.71,overcast clouds,-8.4667,140.3333,PC
318,Faanui,PF,83.28,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
319,Mareeba,AU,78.8,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
321,Quatre Cocos,MU,81.0,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
322,Grand Baie,MU,81.0,few clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
328,Moron,AR,81.0,clear sky,-34.6534,-58.6198,Hotel Morón
330,Esmeraldas,BR,87.8,scattered clouds,-19.7625,-44.3139,Forasteiro Pousada - Hotel
333,Coahuayana,MX,77.0,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
335,Sumenep,ID,78.69,overcast clouds,-7.0167,113.8667,OYO 3271 Homestay Pandian
