City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bayji,IQ,34.9311,43.487,67.87,62,95,12.21,overcast clouds
1,Mataura,NZ,-46.1927,168.8643,53.01,98,100,1.43,overcast clouds
2,Polunochnoye,RU,60.8697,60.4153,16.45,94,87,4.74,overcast clouds
3,Mahebourg,MU,-20.4081,57.7,80.6,89,75,6.91,broken clouds
4,Meridian,US,43.6121,-116.3915,44.01,75,1,18.41,clear sky
5,Pangnirtung,CA,66.1451,-65.7125,-23.8,62,40,3.44,scattered clouds
6,Port Alfred,ZA,-33.5906,26.891,69.44,72,20,18.01,few clouds
7,Mehamn,NO,71.0357,27.8492,32.0,93,90,34.52,snow
8,Cidreira,BR,-30.1811,-50.2056,71.74,92,100,2.98,overcast clouds
9,Zhanakorgan,KZ,43.9098,67.2495,38.66,57,20,8.25,few clouds
10,Bredasdorp,ZA,-34.5322,20.0403,68.0,77,2,13.8,clear sky
11,Hede,CN,33.7681,120.2517,47.16,72,100,7.61,overcast clouds
12,Nome,US,64.5011,-165.4064,-0.4,78,90,10.36,overcast clouds
13,New Norfolk,AU,-42.7826,147.0587,63.0,78,100,3.83,overcast clouds
14,Vila Velha,BR,-20.3297,-40.2925,87.8,62,20,10.36,few clouds
15,Atuona,PF,-9.8,-139.0333,80.65,67,14,20.18,few clouds
16,Zheleznodorozhnyy,RU,55.7503,38.0042,32.0,59,75,4.47,broken clouds
17,Albany,US,42.6001,-73.9662,64.0,19,23,1.01,few clouds
18,Oerlinghausen,DE,51.9545,8.6622,51.01,75,79,1.01,broken clouds
19,Hervey Bay,AU,-25.2986,152.8535,78.01,92,92,5.01,light rain
20,Sobolevo,RU,54.4299,31.8996,19.2,93,78,4.94,broken clouds
21,Imbituba,BR,-28.24,-48.6703,82.4,65,75,9.22,broken clouds
22,Avarua,CK,-21.2078,-159.775,80.6,89,20,6.91,light rain
23,Vaini,TO,-21.2,-175.2,71.6,100,75,2.3,broken clouds
24,Geraldton,AU,-28.7667,114.6,62.6,63,0,14.97,clear sky
25,Laguna,US,38.421,-121.4238,57.99,38,1,24.16,clear sky
26,Busselton,AU,-33.65,115.3333,51.01,94,0,8.9,clear sky
27,Aksu,CN,41.1231,80.2644,51.06,36,87,3.71,overcast clouds
28,Progreso,MX,21.2833,-89.6667,90.0,48,40,23.02,scattered clouds
